sim_names,omega 1,omega 2,omega 3,omega 1 prop,omega 2 prop,omega 3 prop,N_mom2,N_mean,NRV,alpha 1,alpha 2,alpha 3,alpha 1 prop,alpha 2 prop,alpha 3 prop,S_mom2,S_mean,SRV,normalizer
allOis1_F,1,1,1,0.8341,0.13612,0.02978,1,1,0,0.03389623,0.05499577,7.770528,0.5135488,0.4674898,0.0189614,1.146914275,0.1904574194,5.533358493,2.042793338
allOis1_G,1,1,1,0.8341,0.13612,0.02978,1,1,0,0.05520995,0.163618,54.45345,0.5310638,0.4648596,0.0040766,12.10190896,0.3273643381,10.57947411,13.7299009
fill_A,0.01729,0.4031,2.077,0.8341,0.13612,0.02978,0.1508362406,0.131144621,2.787490597,0.03772726,1,1.279818,0.01752449,0.011,0.97147551,1.602237821,1.254972995,0.131611124,1.255026936
fill_E,0.01729,0.4031,1,0.8341,0.13612,0.02978,0.05214743499,0.099071561,2.076761985,0.03772726,1,1.279818,0.01752449,0.011,0.97147551,1.602237821,1.254972995,0.131611124,1.255026936
fill_I,0.01729,0.4031,6,0.8341,0.13612,0.02978,1.094447435,0.247971561,4.098636083,0.03772726,1,1.279818,0.01752449,0.011,0.97147551,1.602237821,1.254972995,0.131611124,1.255026936
fill_M,0.01729,0.4031,13,0.8341,0.13612,0.02978,5.055187435,0.456431561,4.823413183,0.03772726,1,1.279818,0.01752449,0.011,0.97147551,1.602237821,1.254972995,0.131611124,1.255026936
fill_B,0.01729,0.4031,2.077,0.8341,0.13612,0.02978,0.1508362406,0.131144621,2.787490597,0.3750284,2.110615,2.805204,0.03191756,0.5899115,0.37817094,5.608256516,2.317892686,0.2094218442,2.330970779
fill_F,0.01729,0.4031,1,0.8341,0.13612,0.02978,0.05214743499,0.099071561,2.076761985,0.3750284,2.110615,2.805204,0.03191756,0.5899115,0.37817094,5.608256516,2.317892686,0.2094218442,2.330970779
fill_J,0.01729,0.4031,6,0.8341,0.13612,0.02978,1.094447435,0.247971561,4.098636083,0.3750284,2.110615,2.805204,0.03191756,0.5899115,0.37817094,5.608256516,2.317892686,0.2094218442,2.330970779
fill_N,0.01729,0.4031,13,0.8341,0.13612,0.02978,5.055187435,0.456431561,4.823413183,0.3750284,2.110615,2.805204,0.03191756,0.5899115,0.37817094,5.608256516,2.317892686,0.2094218442,2.330970779
fill_C,0.01729,0.4031,2.077,0.8341,0.13612,0.02978,0.1508362406,0.131144621,2.787490597,0.5477452,1.343889,2.340828,0.04944687,0.7427416,0.20781153,2.494952811,1.5116976,0.3029411649,1.548311428
fill_G,0.01729,0.4031,1,0.8341,0.13612,0.02978,0.05214743499,0.099071561,2.076761985,0.5477452,1.343889,2.340828,0.04944687,0.7427416,0.20781153,2.494952811,1.5116976,0.3029411649,1.548311428
fill_K,0.01729,0.4031,6,0.8341,0.13612,0.02978,1.094447435,0.247971561,4.098636083,0.5477452,1.343889,2.340828,0.04944687,0.7427416,0.20781153,2.494952811,1.5116976,0.3029411649,1.548311428
fill_O,0.01729,0.4031,13,0.8341,0.13612,0.02978,5.055187435,0.456431561,4.823413183,0.5477452,1.343889,2.340828,0.04944687,0.7427416,0.20781153,2.494952811,1.5116976,0.3029411649,1.548311428
fill_D,0.01729,0.4031,2.077,0.8341,0.13612,0.02978,0.1508362406,0.131144621,2.787490597,0.7617073,1.312518,2.64968,0.2851928,0.6136095,0.1011977,1.933024756,1.290748473,0.4003210504,1.524747827
fill_H,0.01729,0.4031,1,0.8341,0.13612,0.02978,0.05214743499,0.099071561,2.076761985,0.7617073,1.312518,2.64968,0.2851928,0.6136095,0.1011977,1.933024756,1.290748473,0.4003210504,1.524747827
fill_L,0.01729,0.4031,6,0.8341,0.13612,0.02978,1.094447435,0.247971561,4.098636083,0.7617073,1.312518,2.64968,0.2851928,0.6136095,0.1011977,1.933024756,1.290748473,0.4003210504,1.524747827
fill_P,0.01729,0.4031,13,0.8341,0.13612,0.02978,5.055187435,0.456431561,4.823413183,0.7617073,1.312518,2.64968,0.2851928,0.6136095,0.1011977,1.933024756,1.290748473,0.4003210504,1.524747827
CV0d1,0.01729,0.4031,2.077,0.8341,0.13612,0.02978,0.1508362406,0.131144621,2.787490597,0.7705936,0.7953698,1.421194,0.01,0.9721922,0.0178078,0.6569277435,0.8062665902,0.1027411557,0.8123508042
CV0d1o1,0.01729,0.4031,1,0.8341,0.13612,0.02978,0.05214743499,0.099071561,2.076761985,0.7705936,0.7953698,1.421194,0.01,0.9721922,0.0178078,0.6569277435,0.8062665902,0.1027411557,0.8123508042
